char01,char02,char03,char04,char05,char06,char07,char08,prediction
t,s,u,r,i,s,e,n,valid
d,a,m,a,s,k,*,*,valid
a,c,o,l,y,t,e,*,valid
y,x,w,a,*,*,*,*,invalid
a,i,r,e,d,*,*,*,valid
w,i,e,c,i,i,*,*,invalid
p,a,s,t,u,r,e,s,valid
u,c,l,b,c,j,*,*,invalid
s,o,x,*,*,*,*,*,invalid
d,v,u,d,s,c,*,*,invalid
t,r,i,f,l,e,*,*,valid
c,j,w,q,y,*,*,*,invalid
c,r,e,d,o,s,*,*,valid
l,d,d,*,*,*,*,*,invalid
u,f,e,g,v,x,*,*,invalid
c,d,t,o,b,*,*,*,invalid
q,p,k,u,q,u,o,*,invalid
t,t,g,s,k,t,*,*,invalid
y,h,u,*,*,*,*,*,invalid
c,u,o,h,*,*,*,*,invalid
g,g,e,*,*,*,*,*,invalid
t,u,b,f,*,*,*,*,invalid
p,a,t,i,e,n,t,*,valid
a,k,c,p,m,l,*,*,invalid
j,p,u,t,o,n,f,*,invalid
k,l,p,v,h,*,*,*,invalid
c,e,m,s,v,a,r,*,invalid
b,y,e,l,a,w,s,*,valid
a,t,r,o,p,h,y,*,valid
w,u,e,h,m,b,r,*,invalid
b,n,g,u,p,*,*,*,invalid
t,f,n,*,*,*,*,*,invalid
f,v,i,*,*,*,*,*,invalid
o,w,n,i,n,g,*,*,valid
s,t,y,e,*,*,*,*,valid
v,e,s,p,e,r,s,*,valid
f,y,t,r,j,a,*,*,invalid
b,m,u,y,h,*,*,*,invalid
i,n,f,r,i,n,g,e,valid
h,j,n,y,*,*,*,*,invalid
r,e,a,d,j,u,s,t,valid
r,a,t,i,f,i,e,d,valid
s,j,f,g,l,t,u,*,invalid
f,i,l,l,i,n,g,s,valid
g,f,t,j,*,*,*,*,invalid
m,g,n,j,*,*,*,*,invalid
s,e,t,t,l,e,s,*,valid
d,y,v,x,c,u,*,*,invalid
g,o,r,g,e,*,*,*,valid
v,a,n,i,t,y,*,*,valid
j,m,v,y,y,x,q,*,invalid
b,e,l,i,e,v,e,*,valid
q,u,a,k,i,n,g,*,valid
u,b,i,q,u,i,t,y,valid
o,p,i,k,k,a,h,*,invalid
j,s,a,*,*,*,*,*,invalid
b,u,c,k,*,*,*,*,valid
c,a,d,n,*,*,*,*,invalid
d,q,w,g,*,*,*,*,invalid
t,o,y,*,*,*,*,*,valid
a,s,u,n,d,e,r,*,valid
q,y,i,r,o,h,p,*,invalid
x,f,g,x,h,k,*,*,invalid
a,i,r,h,e,a,d,s,valid
r,a,c,i,s,m,*,*,valid
o,c,f,d,*,*,*,*,invalid
i,n,h,a,l,a,n,t,valid
s,t,r,l,*,*,*,*,invalid
r,e,t,a,k,e,s,*,valid
v,s,p,d,o,w,x,*,invalid
b,u,r,r,o,w,e,d,valid
t,u,r,m,o,i,l,*,valid
x,w,a,b,n,u,f,*,invalid
a,v,o,w,e,d,*,*,valid
r,o,y,a,l,s,*,*,valid
m,f,g,o,i,t,y,*,invalid
v,d,w,*,*,*,*,*,invalid
b,f,i,c,*,*,*,*,invalid
l,n,e,t,v,*,*,*,invalid
m,r,n,*,*,*,*,*,invalid
e,q,u,a,t,e,s,*,valid
p,o,t,s,h,e,r,d,valid
t,h,b,n,u,a,w,*,invalid
p,y,h,u,t,q,f,*,invalid
m,u,e,s,l,i,*,*,valid
m,r,c,*,*,*,*,*,invalid
t,r,i,p,l,y,*,*,valid
p,l,l,s,d,v,k,*,invalid
r,o,v,e,r,s,*,*,valid
c,a,n,t,s,*,*,*,valid
b,l,y,j,o,*,*,*,invalid
s,e,n,s,u,a,l,*,valid
j,l,t,q,f,*,*,*,invalid
r,e,q,u,i,t,e,d,valid
c,l,u,m,s,i,l,y,valid
u,t,h,x,h,e,*,*,invalid
a,b,a,e,o,*,*,*,invalid
o,l,r,e,*,*,*,*,invalid
x,k,a,s,*,*,*,*,invalid
u,p,m,j,g,r,*,*,invalid
p,e,p,j,*,*,*,*,invalid
d,y,a,*,*,*,*,*,invalid
o,r,i,g,a,m,i,*,valid
n,h,c,v,*,*,*,*,invalid
f,l,o,w,e,r,*,*,valid
e,q,d,*,*,*,*,*,invalid
m,a,s,x,j,n,g,*,invalid
t,n,f,w,x,*,*,*,invalid
r,v,x,t,*,*,*,*,invalid
b,m,m,n,v,*,*,*,invalid
i,n,d,e,n,t,s,*,valid
f,o,v,f,c,*,*,*,invalid
c,y,e,a,b,x,*,*,invalid
w,r,a,p,p,i,n,g,valid
g,b,a,h,*,*,*,*,invalid
l,s,d,p,*,*,*,*,invalid
d,o,w,n,s,*,*,*,valid
s,x,o,*,*,*,*,*,invalid
e,u,c,n,e,t,q,*,invalid
b,u,b,b,l,e,s,*,valid
s,i,g,n,e,t,s,*,valid
u,t,o,p,i,a,s,*,valid
p,i,f,*,*,*,*,*,invalid
s,f,c,v,e,x,*,*,invalid
c,x,h,v,s,m,*,*,invalid
r,u,e,*,*,*,*,*,valid
q,e,m,*,*,*,*,*,invalid
b,i,b,u,l,o,u,s,valid
c,s,u,d,*,*,*,*,invalid
e,v,k,s,*,*,*,*,invalid
x,p,h,*,*,*,*,*,invalid
h,x,b,s,x,m,j,*,invalid
g,w,d,d,*,*,*,*,invalid
b,a,s,i,n,g,*,*,valid
l,m,t,*,*,*,*,*,invalid
k,f,x,q,n,o,*,*,invalid
c,a,d,e,n,c,e,*,valid
b,e,l,y,i,n,g,*,valid
m,e,t,i,*,*,*,*,invalid
p,x,d,*,*,*,*,*,invalid
y,w,t,*,*,*,*,*,invalid
w,i,c,k,e,t,s,*,valid
s,h,o,u,j,o,*,*,valid
l,f,j,k,f,*,*,*,invalid
e,g,g,o,f,r,e,*,invalid
u,c,a,g,u,l,*,*,invalid
f,l,i,t,t,e,d,*,valid
r,e,b,u,i,l,d,*,valid
l,q,g,j,i,i,*,*,invalid
u,b,e,w,r,v,*,*,invalid
m,a,g,i,c,i,a,n,valid
n,e,r,d,i,e,s,t,valid
i,g,l,d,r,i,*,*,invalid
r,r,i,b,*,*,*,*,invalid
m,o,a,f,c,n,*,*,invalid
r,l,y,g,t,y,*,*,invalid
p,e,r,s,o,n,a,*,valid
s,p,r,i,n,k,l,e,valid
p,n,m,c,p,*,*,*,invalid
s,y,p,m,u,*,*,*,invalid
h,x,m,f,s,g,*,*,invalid
f,u,n,n,i,e,s,t,valid
p,c,f,v,x,*,*,*,invalid
f,a,n,n,y,*,*,*,valid
h,o,v,e,*,*,*,*,valid
s,c,a,d,s,*,*,*,valid
w,a,n,d,e,r,e,r,valid
k,l,c,c,p,o,o,*,invalid
o,m,c,k,*,*,*,*,invalid
g,a,i,n,*,*,*,*,valid
l,w,w,*,*,*,*,*,invalid
k,t,y,u,*,*,*,*,invalid
d,v,w,o,l,q,*,*,invalid
r,h,c,*,*,*,*,*,invalid
c,l,e,n,c,h,e,s,valid
e,b,c,y,i,p,m,*,invalid
f,l,i,n,c,h,e,s,valid
j,c,c,i,u,*,*,*,invalid
b,b,r,x,e,w,*,*,invalid
m,k,j,a,k,*,*,*,invalid
t,s,n,o,y,w,i,*,invalid
t,n,h,*,*,*,*,*,invalid
n,c,m,e,a,k,*,*,invalid
r,j,p,*,*,*,*,*,invalid
e,h,x,j,n,x,*,*,invalid
g,n,x,m,*,*,*,*,invalid
n,q,t,x,u,*,*,*,invalid
c,o,b,b,l,e,d,*,valid
n,y,q,i,a,h,*,*,invalid
h,a,g,g,l,i,n,g,valid
d,m,g,*,*,*,*,*,invalid
r,e,d,o,u,b,l,e,valid
h,o,b,b,i,t,*,*,valid
f,o,o,t,s,i,e,s,valid
u,n,m,*,*,*,*,*,invalid
l,i,v,e,r,i,e,d,valid
r,u,y,r,q,*,*,*,invalid
c,p,m,m,p,*,*,*,invalid
y,b,c,a,s,v,v,*,invalid
o,k,r,j,u,i,*,*,invalid
i,y,a,*,*,*,*,*,invalid
m,r,d,r,i,f,*,*,invalid
w,h,u,*,*,*,*,*,invalid
x,i,t,b,x,a,o,*,invalid
w,w,v,q,n,k,y,*,invalid
i,c,h,a,*,*,*,*,invalid
q,p,s,q,f,*,*,*,invalid
o,v,e,r,h,e,a,d,valid
n,i,m,b,i,*,*,*,valid
f,i,e,r,c,e,l,y,valid
o,r,g,*,*,*,*,*,invalid
y,w,h,s,l,r,o,*,invalid
u,p,p,e,r,c,u,t,valid
y,e,d,*,*,*,*,*,invalid
s,d,s,*,*,*,*,*,invalid
k,e,u,r,w,*,*,*,invalid
o,v,e,r,p,l,a,y,valid
p,l,u,i,r,*,*,*,invalid
c,a,j,o,l,e,s,*,valid
l,c,k,y,*,*,*,*,invalid
x,q,s,h,m,q,*,*,invalid
m,p,m,*,*,*,*,*,invalid
c,e,n,s,o,r,s,*,valid
o,h,m,s,*,*,*,*,valid
t,h,i,c,k,e,n,s,valid
w,l,m,y,t,r,*,*,invalid
q,n,l,*,*,*,*,*,invalid
w,u,u,n,*,*,*,*,invalid
u,j,b,e,b,*,*,*,invalid
y,r,f,b,q,s,*,*,invalid
u,o,p,d,e,q,n,*,invalid
d,c,g,g,n,h,*,*,invalid
x,n,e,i,*,*,*,*,invalid
n,q,u,v,b,r,*,*,invalid
b,u,r,i,e,d,*,*,valid
d,e,g,*,*,*,*,*,invalid
c,o,v,e,t,*,*,*,valid
f,x,g,l,a,*,*,*,invalid
b,o,o,k,e,d,*,*,valid
m,t,g,f,b,*,*,*,invalid
v,q,n,p,j,*,*,*,invalid
r,o,a,d,b,e,d,s,valid
s,m,u,d,g,y,*,*,valid
w,a,c,k,y,*,*,*,valid
q,d,n,a,s,y,s,*,invalid
g,o,a,u,m,*,*,*,invalid
n,v,t,t,r,l,s,*,invalid
s,e,a,l,s,*,*,*,valid
p,t,u,x,o,*,*,*,invalid
y,t,n,u,*,*,*,*,invalid
n,o,t,e,*,*,*,*,valid
b,r,a,n,c,h,e,s,valid
o,d,k,p,v,y,*,*,invalid
l,k,a,i,b,b,*,*,invalid
m,d,c,d,m,*,*,*,invalid
p,r,o,p,o,s,e,r,valid
r,o,b,b,i,n,g,*,valid
n,l,v,*,*,*,*,*,invalid
v,k,c,*,*,*,*,*,invalid
u,r,o,r,v,k,*,*,invalid
d,o,w,x,*,*,*,*,invalid
d,g,w,y,e,*,*,*,invalid
p,o,d,c,a,s,t,s,valid
u,j,m,c,k,n,*,*,invalid
d,s,y,s,*,*,*,*,invalid
u,f,n,v,s,*,*,*,invalid
u,n,e,e,t,l,x,*,invalid
x,v,d,l,y,*,*,*,invalid
a,i,b,*,*,*,*,*,invalid
f,g,m,m,*,*,*,*,invalid
b,j,h,c,*,*,*,*,invalid
h,u,t,i,y,s,*,*,invalid
d,f,s,v,j,*,*,*,invalid
h,a,r,s,h,e,s,t,valid
p,i,l,e,d,*,*,*,valid
y,r,i,y,s,g,*,*,invalid
v,s,j,q,k,m,d,*,invalid
v,c,l,g,n,u,*,*,invalid
d,j,k,p,*,*,*,*,invalid
n,k,a,m,c,d,u,*,invalid
t,j,h,v,d,b,*,*,invalid
q,h,m,r,*,*,*,*,invalid
a,l,i,n,e,d,*,*,valid
c,h,u,r,n,*,*,*,valid
l,o,u,t,*,*,*,*,valid
y,b,c,o,v,b,a,*,invalid
a,i,r,f,a,r,e,s,valid
k,i,c,k,i,n,g,*,valid
g,r,e,e,t,e,d,*,valid
l,y,k,c,s,q,*,*,invalid
w,h,e,l,k,e,d,*,valid
g,x,r,q,n,v,*,*,invalid
y,y,i,*,*,*,*,*,invalid
y,e,v,e,r,*,*,*,invalid
f,g,t,r,b,*,*,*,invalid
r,o,e,*,*,*,*,*,invalid
k,d,h,v,l,i,n,*,invalid
s,a,r,f,m,a,*,*,invalid
p,w,g,j,w,l,*,*,invalid
d,s,v,q,*,*,*,*,invalid
w,e,w,v,n,k,*,*,invalid
m,r,m,i,w,j,*,*,invalid
f,w,y,*,*,*,*,*,invalid
w,h,i,t,t,l,e,r,valid
f,j,a,d,y,u,g,*,invalid
g,x,y,m,a,*,*,*,invalid
t,h,e,t,u,i,*,*,invalid
c,x,p,x,*,*,*,*,invalid
j,b,p,*,*,*,*,*,invalid
p,c,x,k,m,j,*,*,invalid
w,j,b,l,p,*,*,*,invalid
o,a,m,*,*,*,*,*,invalid
q,j,d,m,d,*,*,*,invalid
d,a,o,*,*,*,*,*,invalid
r,e,n,*,*,*,*,*,invalid
d,c,n,*,*,*,*,*,invalid
p,s,l,h,s,*,*,*,invalid
w,k,w,*,*,*,*,*,invalid
l,p,e,h,n,s,m,*,invalid
m,e,d,i,c,a,t,e,valid
b,b,t,*,*,*,*,*,invalid
p,d,h,q,o,*,*,*,invalid
i,s,r,*,*,*,*,*,invalid
c,i,v,y,o,r,h,*,invalid
c,e,m,i,*,*,*,*,invalid
g,f,o,v,n,*,*,*,invalid
j,n,w,m,f,b,*,*,invalid
t,o,p,o,l,o,g,y,valid
p,l,o,w,m,e,n,*,valid
u,k,m,r,o,e,t,*,invalid
s,c,n,k,*,*,*,*,invalid
d,a,r,e,d,*,*,*,valid
t,v,g,h,o,*,*,*,invalid
a,p,e,s,*,*,*,*,valid
s,l,f,*,*,*,*,*,invalid
g,c,a,e,y,k,*,*,invalid
h,p,r,i,c,*,*,*,invalid
l,o,a,t,h,e,*,*,valid
i,a,f,l,t,n,f,*,invalid
c,k,w,*,*,*,*,*,invalid
d,m,e,n,*,*,*,*,invalid
s,q,g,p,a,*,*,*,invalid
l,i,k,e,r,*,*,*,valid
n,p,w,m,*,*,*,*,invalid
a,v,o,i,d,e,d,*,valid
s,h,t,m,r,t,*,*,invalid
h,x,b,i,x,j,l,*,invalid
n,s,b,*,*,*,*,*,invalid
g,l,k,k,p,*,*,*,invalid
e,m,a,i,l,*,*,*,valid
t,a,c,t,l,e,s,s,valid
s,a,u,c,e,r,*,*,valid
n,d,p,x,t,*,*,*,invalid
g,l,n,t,a,i,a,*,invalid
c,u,r,r,a,n,t,s,valid
r,a,c,i,n,g,*,*,valid
b,a,b,i,e,r,*,*,valid
o,c,k,j,g,b,g,*,invalid
a,m,r,e,*,*,*,*,invalid
b,e,s,o,t,*,*,*,valid
p,i,g,s,k,i,n,*,valid
p,a,r,a,d,e,s,*,valid
s,a,t,s,u,*,*,*,valid
u,s,e,k,x,m,*,*,invalid
c,i,d,*,*,*,*,*,invalid
s,e,d,u,c,e,s,*,valid
s,f,j,n,t,b,*,*,invalid
d,k,f,*,*,*,*,*,invalid
u,s,f,v,i,*,*,*,invalid
s,l,i,c,k,e,r,s,valid
d,p,s,i,u,l,r,*,invalid
s,q,a,h,y,d,*,*,invalid
g,r,i,t,t,i,e,r,valid
j,q,m,m,m,x,*,*,invalid
i,k,i,*,*,*,*,*,invalid
l,e,t,d,o,w,n,*,valid
a,r,k,n,*,*,*,*,invalid
f,r,l,*,*,*,*,*,invalid
e,m,k,*,*,*,*,*,invalid
b,i,s,p,d,a,q,*,invalid
g,f,g,o,y,a,m,*,invalid
g,p,r,b,*,*,*,*,invalid
l,e,s,s,o,n,*,*,valid
i,l,l,s,*,*,*,*,valid
d,s,e,l,h,o,n,*,invalid
a,y,k,c,u,d,t,*,invalid
r,e,p,e,a,l,*,*,valid
r,x,v,*,*,*,*,*,invalid
i,k,x,p,o,*,*,*,invalid
j,f,n,i,g,q,*,*,invalid
d,c,w,b,e,y,q,*,invalid
s,a,i,q,w,r,*,*,invalid
d,y,w,*,*,*,*,*,invalid
l,i,m,p,i,d,l,y,valid
x,f,p,*,*,*,*,*,invalid
s,a,l,t,e,s,t,*,valid
y,u,u,t,y,*,*,*,invalid
e,u,d,l,j,*,*,*,invalid
c,q,v,o,*,*,*,*,invalid
m,b,y,t,j,*,*,*,invalid
l,e,g,w,o,r,k,*,valid
f,h,l,x,*,*,*,*,invalid
h,t,g,k,b,q,*,*,invalid
l,e,c,t,e,r,n,*,valid
q,t,n,t,*,*,*,*,invalid
l,y,i,y,y,v,y,*,invalid
k,p,p,a,*,*,*,*,invalid
c,a,k,*,*,*,*,*,invalid
b,e,s,i,e,g,e,s,valid
a,t,v,r,o,i,*,*,invalid
l,o,g,j,a,m,s,*,valid
l,t,b,g,a,*,*,*,invalid
r,e,n,e,g,e,*,*,valid
a,v,e,r,r,e,d,*,valid
v,p,e,g,l,k,o,*,invalid
n,i,n,g,e,n,*,*,valid
r,o,i,u,s,v,j,*,invalid
d,n,p,v,p,m,*,*,invalid
p,c,i,k,g,*,*,*,invalid
h,y,c,b,*,*,*,*,invalid
l,b,s,p,w,c,e,*,invalid
l,h,l,d,*,*,*,*,invalid
t,h,w,a,c,k,*,*,valid
i,n,d,u,c,e,*,*,valid
u,k,i,a,k,w,a,*,invalid
s,j,u,k,u,t,*,*,invalid
s,a,k,e,*,*,*,*,valid
q,c,u,*,*,*,*,*,invalid
f,x,w,n,p,*,*,*,invalid
p,k,i,u,*,*,*,*,invalid
g,e,g,p,*,*,*,*,invalid
a,u,t,u,m,n,*,*,valid
a,h,x,t,x,*,*,*,invalid
x,u,a,c,k,d,*,*,invalid
p,a,r,a,b,o,l,a,valid
u,h,q,v,*,*,*,*,invalid
d,y,t,o,d,*,*,*,invalid
s,q,t,k,c,*,*,*,invalid
a,n,e,m,i,a,*,*,valid
u,q,m,a,t,y,h,*,invalid
m,l,n,*,*,*,*,*,invalid
d,o,l,*,*,*,*,*,invalid
n,h,i,d,r,d,a,*,invalid
s,p,i,n,y,*,*,*,valid
y,w,q,*,*,*,*,*,invalid
v,k,u,g,*,*,*,*,invalid
d,b,s,*,*,*,*,*,invalid
e,t,v,s,o,g,o,*,invalid
d,o,g,t,r,o,t,*,valid
v,g,p,i,t,q,*,*,invalid
f,l,a,s,k,*,*,*,valid
s,e,x,t,o,n,*,*,valid
r,g,e,j,f,*,*,*,invalid
r,l,h,b,a,h,*,*,invalid
m,o,m,h,*,*,*,*,invalid
g,b,x,*,*,*,*,*,invalid
d,i,s,u,s,e,d,*,valid
g,c,g,h,*,*,*,*,invalid
c,o,n,c,e,a,l,s,valid
d,p,i,s,v,k,*,*,invalid
m,w,i,e,f,q,*,*,invalid
d,o,d,o,q,*,*,*,invalid
j,u,w,t,u,g,u,*,invalid
c,a,u,c,u,s,*,*,valid
h,e,c,k,*,*,*,*,valid
x,a,k,m,e,u,k,*,invalid
o,u,g,h,t,*,*,*,valid
r,u,s,t,l,i,n,g,valid
i,k,y,l,o,x,y,*,invalid
x,o,x,h,a,*,*,*,invalid
u,l,e,v,d,i,a,*,invalid
h,t,p,c,*,*,*,*,invalid
o,q,n,h,u,m,f,*,invalid
n,o,b,l,e,r,*,*,valid
e,a,s,t,*,*,*,*,valid
r,e,t,s,m,*,*,*,invalid
m,b,t,y,i,*,*,*,invalid
n,l,i,*,*,*,*,*,invalid
k,a,u,y,u,y,*,*,invalid
d,b,q,l,s,w,e,*,invalid
y,d,l,t,*,*,*,*,invalid
i,n,s,a,n,e,s,t,valid
j,f,q,k,r,i,h,*,invalid
m,e,a,n,e,r,*,*,valid
y,d,h,a,e,y,*,*,invalid
b,o,l,d,e,r,*,*,valid
c,e,a,s,i,n,g,*,valid
m,a,r,s,*,*,*,*,valid
s,j,h,u,u,k,*,*,invalid
o,p,e,n,*,*,*,*,valid
w,s,y,t,x,m,*,*,invalid
q,s,i,b,u,k,v,*,invalid
c,a,m,x,g,y,a,*,invalid
l,u,c,j,c,a,h,*,invalid
w,e,j,*,*,*,*,*,invalid
i,r,u,t,*,*,*,*,invalid
l,q,y,m,d,b,v,*,invalid
c,o,t,t,o,n,e,d,valid
s,l,e,e,t,i,n,g,valid
s,a,l,t,e,r,*,*,valid
m,o,r,t,*,*,*,*,invalid
a,t,t,i,r,e,s,*,valid
t,e,a,r,e,d,*,*,valid
u,l,b,c,w,*,*,*,invalid
j,o,t,t,i,n,g,*,valid
i,h,g,e,y,u,d,*,invalid
u,d,f,n,q,*,*,*,invalid
t,u,f,t,s,*,*,*,valid
r,e,c,e,s,s,e,s,valid
x,r,w,*,*,*,*,*,invalid
a,g,k,*,*,*,*,*,invalid
g,t,e,k,i,p,a,*,invalid
y,m,r,f,e,t,*,*,invalid
y,d,x,m,q,*,*,*,invalid
v,v,c,u,*,*,*,*,invalid
o,q,v,s,t,x,d,*,invalid
g,o,n,d,o,l,a,s,valid
k,q,t,s,g,*,*,*,invalid
p,d,f,q,*,*,*,*,invalid
h,t,n,c,*,*,*,*,invalid
b,o,n,e,*,*,*,*,valid
u,h,i,m,o,*,*,*,invalid
r,i,p,p,e,r,s,*,valid
p,y,d,y,*,*,*,*,invalid
p,y,r,a,m,i,d,s,valid
p,i,w,v,e,b,*,*,invalid
t,v,h,k,*,*,*,*,invalid
d,a,r,n,s,*,*,*,valid
l,a,v,a,t,o,r,y,valid
n,s,u,u,r,t,c,*,invalid
s,y,y,m,v,*,*,*,invalid
w,o,r,s,*,*,*,*,invalid
n,c,m,*,*,*,*,*,invalid
k,v,u,p,d,l,g,*,invalid
m,w,c,j,k,e,*,*,invalid
q,m,y,e,*,*,*,*,invalid
d,o,s,e,d,*,*,*,valid
l,h,c,c,d,*,*,*,invalid
e,q,w,v,n,d,t,*,invalid
x,y,s,g,q,*,*,*,invalid
a,b,v,v,y,f,*,*,invalid
a,s,h,k,*,*,*,*,invalid
e,g,k,i,o,*,*,*,invalid
r,o,y,t,f,*,*,*,invalid
x,a,q,u,d,d,x,*,invalid
s,t,r,a,t,e,g,y,valid
d,i,l,*,*,*,*,*,invalid
k,f,c,v,u,*,*,*,invalid
b,a,x,j,*,*,*,*,invalid
s,e,d,u,l,o,u,s,valid
d,g,m,x,a,*,*,*,invalid
e,n,c,o,r,e,s,*,valid
r,j,e,*,*,*,*,*,invalid
f,a,x,i,n,g,*,*,valid
n,o,y,i,c,*,*,*,invalid
c,o,m,b,a,t,e,d,valid
a,w,a,j,i,e,*,*,invalid
m,j,v,x,*,*,*,*,invalid
c,r,e,o,l,e,s,*,valid
j,k,g,t,*,*,*,*,invalid
u,g,o,o,i,v,*,*,invalid
c,a,r,p,e,t,e,d,valid
t,g,g,o,f,i,f,*,invalid
p,p,k,l,*,*,*,*,invalid
x,s,f,w,d,b,*,*,invalid
x,p,x,y,y,f,q,*,invalid
r,a,t,e,*,*,*,*,valid
w,e,h,j,d,u,*,*,invalid
o,n,a,g,*,*,*,*,invalid
j,u,n,t,a,*,*,*,valid
y,n,r,n,l,f,u,*,invalid
c,l,e,a,n,e,d,*,valid
j,o,s,t,l,i,n,g,valid
g,i,l,t,*,*,*,*,valid
l,o,o,p,i,n,g,*,valid
s,t,h,*,*,*,*,*,invalid
s,h,a,r,k,e,d,*,valid
n,e,b,u,l,a,e,*,valid
s,p,e,c,i,e,s,*,valid
p,e,o,n,s,*,*,*,valid
d,i,s,m,a,y,s,*,valid
s,k,g,s,c,s,b,*,invalid
b,f,u,u,q,*,*,*,invalid
e,c,j,m,i,*,*,*,invalid
l,a,c,f,k,l,*,*,invalid
e,f,s,c,*,*,*,*,invalid
w,h,e,l,p,s,*,*,valid
j,d,r,p,g,m,*,*,invalid
r,e,m,n,a,n,t,s,valid
q,c,k,k,*,*,*,*,invalid
t,j,q,v,c,i,t,*,invalid
o,w,p,*,*,*,*,*,invalid
c,a,r,p,o,r,t,s,valid
h,o,u,s,e,f,l,y,valid
s,o,n,o,r,i,t,y,valid
o,s,p,j,*,*,*,*,invalid
g,i,a,*,*,*,*,*,invalid
o,h,t,j,*,*,*,*,invalid
p,o,u,t,*,*,*,*,valid
s,u,r,g,e,s,*,*,valid
v,d,b,f,n,f,*,*,invalid
h,d,f,h,l,v,y,*,invalid
a,o,p,x,f,*,*,*,invalid
p,f,k,*,*,*,*,*,invalid
v,j,b,q,*,*,*,*,invalid
c,l,a,p,*,*,*,*,valid
c,o,u,n,t,e,r,s,valid
f,h,p,d,*,*,*,*,invalid
m,u,m,m,e,r,*,*,valid
t,c,u,b,s,*,*,*,invalid
s,p,u,t,t,e,r,s,valid
t,s,m,m,j,k,d,*,invalid
b,o,s,u,n,s,*,*,valid
n,k,j,k,w,*,*,*,invalid
o,g,w,t,o,i,u,*,invalid
h,a,s,h,e,e,s,h,valid
j,v,b,v,p,f,j,*,invalid
k,l,h,e,u,n,d,*,invalid
s,p,a,d,e,d,*,*,valid
g,w,w,*,*,*,*,*,invalid
m,e,e,k,*,*,*,*,valid
s,q,u,a,n,d,e,r,valid
j,k,v,v,*,*,*,*,invalid
h,v,l,u,o,d,j,*,invalid
y,r,g,i,*,*,*,*,invalid
l,w,j,s,e,y,*,*,invalid
x,s,n,t,*,*,*,*,invalid
n,r,w,h,g,d,k,*,invalid
m,j,c,*,*,*,*,*,invalid
x,a,m,r,h,*,*,*,invalid
s,f,v,e,*,*,*,*,invalid
s,y,g,o,*,*,*,*,invalid
s,n,u,f,f,e,r,s,valid
t,e,p,c,w,c,*,*,invalid
b,k,v,*,*,*,*,*,invalid
p,r,i,v,a,t,e,s,valid
e,q,h,f,*,*,*,*,invalid
x,q,f,*,*,*,*,*,invalid
c,t,v,y,h,s,k,*,invalid
r,o,l,e,s,*,*,*,valid
t,d,m,m,r,r,*,*,invalid
y,x,v,*,*,*,*,*,invalid
q,n,a,*,*,*,*,*,invalid
p,m,y,q,*,*,*,*,invalid
h,x,t,*,*,*,*,*,invalid
s,t,r,u,m,*,*,*,valid
t,r,r,k,*,*,*,*,invalid
x,t,q,g,c,x,*,*,invalid
a,d,m,a,n,*,*,*,valid
w,a,e,k,*,*,*,*,invalid
u,m,p,i,r,e,*,*,valid
j,v,b,s,u,*,*,*,invalid
a,b,u,n,d,a,n,t,valid
l,k,p,x,f,*,*,*,invalid
r,d,e,h,s,*,*,*,invalid
i,s,o,n,i,j,*,*,invalid
h,m,o,q,*,*,*,*,invalid
s,n,o,w,d,r,o,p,valid
w,h,e,t,t,i,n,g,valid
b,r,i,m,f,u,l,l,valid
p,r,o,m,o,t,e,s,valid
k,b,r,*,*,*,*,*,invalid
d,b,m,t,l,c,*,*,invalid
g,l,e,r,v,p,q,*,invalid
l,g,m,d,g,*,*,*,invalid
p,f,o,p,d,l,q,*,invalid
u,p,w,j,m,s,*,*,invalid
l,v,x,b,r,*,*,*,invalid
t,r,o,u,p,i,n,g,valid
t,u,r,n,c,o,a,t,valid
s,w,a,p,p,i,n,g,valid
u,h,k,a,j,e,b,*,invalid
u,q,x,x,i,*,*,*,invalid
w,d,e,k,n,f,r,*,invalid
e,r,e,c,t,i,n,g,valid
y,i,c,f,f,j,s,*,invalid
m,l,x,c,*,*,*,*,invalid
r,s,t,d,x,u,*,*,invalid
m,a,m,a,*,*,*,*,valid
p,o,r,t,l,i,e,r,valid
u,n,r,u,l,i,e,r,valid
k,u,b,t,e,x,*,*,invalid
m,i,s,s,t,e,p,*,valid
g,x,p,*,*,*,*,*,invalid
v,j,l,l,s,k,g,*,invalid
b,d,e,*,*,*,*,*,invalid
h,o,g,a,n,*,*,*,valid
c,u,r,r,y,*,*,*,valid
v,i,o,l,i,n,s,*,valid
f,b,h,j,q,*,*,*,invalid
g,m,f,h,s,f,n,*,invalid
n,u,d,e,s,t,*,*,valid
f,w,n,y,g,w,s,*,invalid
l,n,k,n,*,*,*,*,invalid
k,b,e,h,k,c,*,*,invalid
m,c,k,n,r,*,*,*,invalid
x,e,o,*,*,*,*,*,invalid
f,l,u,n,g,*,*,*,valid
s,k,p,c,b,*,*,*,invalid
k,i,l,l,i,n,g,s,valid
s,t,i,n,g,i,l,y,valid
t,b,k,n,w,a,m,*,invalid
y,n,j,y,t,*,*,*,invalid
g,u,x,i,*,*,*,*,invalid
k,c,w,k,b,c,*,*,invalid
y,g,f,*,*,*,*,*,invalid
h,k,w,b,d,u,h,*,invalid
p,o,l,l,i,w,o,g,valid
b,v,a,*,*,*,*,*,invalid
p,o,p,u,l,a,c,e,valid
