char01,char02,char03,char04,char05,char06,char07,char08,prediction
m,u,l,t,i,*,*,*,valid
l,u,i,h,w,b,*,*,invalid
f,r,o,n,t,s,*,*,valid
j,j,j,*,*,*,*,*,invalid
f,i,r,m,*,*,*,*,valid
q,k,f,k,*,*,*,*,invalid
f,a,t,e,f,u,l,*,valid
m,o,d,e,r,a,t,e,valid
o,u,t,g,o,*,*,*,valid
b,t,x,i,n,o,*,*,invalid
f,i,z,z,e,d,*,*,valid
b,l,a,c,k,t,o,p,valid
b,e,d,d,e,r,*,*,valid
r,k,y,*,*,*,*,*,invalid
k,o,l,f,*,*,*,*,invalid
v,p,i,x,*,*,*,*,invalid
u,p,w,t,u,*,*,*,invalid
a,l,u,o,s,a,d,*,invalid
i,e,s,o,g,*,*,*,invalid
g,p,m,n,*,*,*,*,invalid
d,t,d,c,i,a,*,*,invalid
s,o,u,r,c,i,n,g,valid
a,x,w,y,x,y,*,*,invalid
x,x,n,n,l,y,v,*,invalid
f,r,a,m,e,d,*,*,valid
i,n,t,r,e,n,c,h,valid
d,e,f,i,n,e,r,*,valid
s,i,m,m,e,r,e,d,valid
j,w,i,f,f,k,e,*,invalid
i,n,v,a,d,e,s,*,valid
q,d,e,e,*,*,*,*,invalid
p,u,u,k,y,*,*,*,invalid
h,s,w,*,*,*,*,*,invalid
m,i,k,e,*,*,*,*,valid
l,i,n,e,f,e,e,d,valid
a,o,s,n,*,*,*,*,invalid
j,x,h,k,v,y,*,*,invalid
r,e,w,o,r,d,*,*,valid
t,r,e,a,d,l,e,d,valid
m,a,n,l,y,*,*,*,valid
l,f,r,h,w,d,*,*,invalid
v,i,h,*,*,*,*,*,invalid
d,a,f,f,y,*,*,*,valid
r,s,s,a,*,*,*,*,invalid
m,i,f,f,*,*,*,*,valid
h,s,v,v,n,t,l,*,invalid
x,s,u,*,*,*,*,*,invalid
j,c,v,p,e,*,*,*,invalid
f,w,a,i,f,w,*,*,invalid
v,i,k,n,p,g,f,*,invalid
h,a,r,d,t,a,c,k,valid
r,a,d,i,a,l,s,*,valid
d,t,u,*,*,*,*,*,invalid
k,u,m,o,r,i,*,*,valid
y,i,q,x,e,*,*,*,invalid
r,e,y,m,e,t,*,*,invalid
l,e,r,*,*,*,*,*,invalid
a,u,v,*,*,*,*,*,invalid
p,h,n,s,*,*,*,*,invalid
w,i,k,i,*,*,*,*,valid
w,i,g,w,a,g,*,*,valid
s,o,r,e,t,o,m,o,valid
a,f,f,i,r,m,e,d,valid
s,u,l,*,*,*,*,*,invalid
e,q,q,g,*,*,*,*,invalid
m,a,r,i,n,a,d,e,valid
d,g,j,k,w,b,m,*,invalid
b,a,q,v,*,*,*,*,invalid
c,g,k,*,*,*,*,*,invalid
t,m,e,g,*,*,*,*,invalid
o,r,g,o,*,*,*,*,invalid
l,b,p,s,p,*,*,*,invalid
v,e,r,k,a,*,*,*,invalid
o,t,x,u,f,i,*,*,invalid
o,e,l,a,i,v,*,*,invalid
v,u,b,t,*,*,*,*,invalid
j,a,p,e,*,*,*,*,valid
g,x,m,*,*,*,*,*,invalid
p,o,n,i,a,r,d,*,valid
g,y,r,a,t,e,s,*,valid
r,i,o,t,e,r,*,*,valid
u,l,s,q,t,q,*,*,invalid
h,m,f,*,*,*,*,*,invalid
j,r,r,*,*,*,*,*,invalid
n,y,j,v,*,*,*,*,invalid
l,c,c,d,d,*,*,*,invalid
r,e,p,*,*,*,*,*,invalid
c,p,q,p,p,*,*,*,invalid
c,n,x,b,v,*,*,*,invalid
q,k,c,n,b,a,q,*,invalid
u,x,v,i,q,*,*,*,invalid
s,o,f,a,*,*,*,*,valid
m,i,n,u,t,i,n,g,valid
s,t,u,b,b,l,y,*,valid
a,i,b,*,*,*,*,*,invalid
w,n,t,*,*,*,*,*,invalid
l,e,b,*,*,*,*,*,invalid
f,g,m,c,*,*,*,*,invalid
c,h,o,u,k,o,k,u,valid
j,j,r,t,*,*,*,*,invalid
p,i,i,n,*,*,*,*,invalid
u,x,e,i,c,t,*,*,invalid
u,j,y,a,x,*,*,*,invalid
h,o,b,*,*,*,*,*,valid
c,l,r,*,*,*,*,*,invalid
k,h,r,t,s,m,*,*,invalid
l,o,a,d,s,t,a,r,valid
x,l,q,p,p,u,*,*,invalid
v,f,m,w,*,*,*,*,invalid
s,h,a,d,s,*,*,*,valid
f,e,n,c,*,*,*,*,invalid
i,n,c,i,s,e,*,*,valid
u,e,v,r,c,k,*,*,invalid
m,t,k,w,f,x,t,*,invalid
h,d,q,b,*,*,*,*,invalid
u,n,l,u,c,k,y,*,valid
g,x,s,r,u,y,*,*,invalid
f,i,g,t,*,*,*,*,invalid
i,h,u,e,h,*,*,*,invalid
g,r,o,s,s,e,s,*,valid
k,d,m,e,*,*,*,*,invalid
q,g,u,*,*,*,*,*,invalid
h,n,t,l,s,u,*,*,invalid
x,o,c,h,b,h,x,*,invalid
m,a,i,n,l,i,n,e,valid
m,o,n,o,r,a,i,l,valid
x,u,j,*,*,*,*,*,invalid
r,s,q,b,y,y,o,*,invalid
i,m,p,l,i,e,s,*,valid
s,w,k,t,*,*,*,*,invalid
r,a,t,t,r,a,p,*,valid
j,b,m,c,g,*,*,*,invalid
b,q,b,n,q,s,v,*,invalid
c,a,r,o,m,e,d,*,valid
q,o,h,i,*,*,*,*,invalid
j,p,k,i,m,*,*,*,invalid
j,c,n,j,m,a,*,*,invalid
k,t,x,e,*,*,*,*,invalid
e,x,e,c,u,t,o,r,valid
e,k,f,d,w,*,*,*,invalid
j,f,w,*,*,*,*,*,invalid
i,d,l,e,s,*,*,*,valid
c,f,c,f,l,*,*,*,invalid
g,m,d,b,i,*,*,*,invalid
m,t,t,x,h,h,c,*,invalid
r,v,h,p,s,*,*,*,invalid
a,n,v,q,*,*,*,*,invalid
f,h,k,*,*,*,*,*,invalid
t,a,m,p,e,r,s,*,valid
h,r,o,y,*,*,*,*,invalid
t,q,c,g,*,*,*,*,invalid
r,e,p,u,b,l,i,c,valid
n,w,e,g,k,j,*,*,invalid
x,k,l,*,*,*,*,*,invalid
e,n,d,e,m,i,c,*,valid
r,e,n,a,m,i,n,g,valid
h,l,f,e,*,*,*,*,invalid
s,l,e,d,s,*,*,*,valid
d,e,l,u,g,e,s,*,valid
m,a,p,o,u,*,*,*,invalid
y,j,b,*,*,*,*,*,invalid
b,v,x,t,r,y,*,*,invalid
j,j,j,*,*,*,*,*,invalid
s,h,i,v,e,r,y,*,valid
e,u,k,n,*,*,*,*,invalid
c,a,b,b,a,g,e,*,valid
o,i,v,w,*,*,*,*,invalid
n,r,p,*,*,*,*,*,invalid
x,m,x,g,e,j,*,*,invalid
v,p,m,l,v,x,*,*,invalid
d,p,n,x,k,*,*,*,invalid
f,e,n,l,m,y,*,*,invalid
t,r,b,w,q,*,*,*,invalid
h,o,n,o,r,*,*,*,valid
t,q,w,a,w,*,*,*,invalid
r,o,d,e,n,t,s,*,valid
m,b,v,*,*,*,*,*,invalid
e,s,c,f,v,e,*,*,invalid
s,e,y,q,k,*,*,*,invalid
x,v,j,u,r,*,*,*,invalid
c,o,l,a,n,d,e,r,valid
s,y,i,q,g,*,*,*,invalid
m,b,o,w,i,r,d,*,invalid
e,g,g,i,n,g,*,*,valid
m,m,g,l,*,*,*,*,invalid
g,r,a,v,e,l,l,y,valid
t,i,v,*,*,*,*,*,invalid
o,k,n,x,x,q,*,*,invalid
f,i,o,x,b,*,*,*,invalid
q,h,u,b,s,x,*,*,invalid
d,a,y,e,q,*,*,*,invalid
c,l,o,g,s,*,*,*,valid
s,u,q,v,d,i,*,*,invalid
r,i,g,i,d,*,*,*,valid
m,s,f,w,m,q,*,*,invalid
t,x,t,h,e,*,*,*,invalid
p,r,f,w,n,m,t,*,invalid
j,c,n,i,q,c,t,*,invalid
j,q,j,j,g,*,*,*,invalid
s,h,i,r,i,*,*,*,valid
d,x,a,g,e,*,*,*,invalid
a,x,q,h,a,v,r,*,invalid
a,w,w,s,j,a,d,*,invalid
v,x,h,m,*,*,*,*,invalid
b,v,q,m,r,c,*,*,invalid
b,l,h,f,m,i,w,*,invalid
p,k,p,k,u,d,*,*,invalid
u,n,d,e,r,t,o,w,valid
r,r,a,s,i,*,*,*,invalid
n,g,e,j,*,*,*,*,invalid
b,r,a,v,u,r,a,s,valid
r,f,r,h,q,o,*,*,invalid
m,e,n,i,a,l,s,*,valid
s,p,i,t,s,*,*,*,valid
h,x,j,c,r,s,v,*,invalid
d,a,m,y,a,v,*,*,invalid
d,o,r,s,a,l,*,*,valid
r,e,d,w,o,o,d,*,valid
t,e,r,r,y,*,*,*,valid
p,i,m,m,h,e,h,*,invalid
k,p,h,*,*,*,*,*,invalid
k,d,l,t,*,*,*,*,invalid
k,e,t,*,*,*,*,*,invalid
s,p,e,e,d,w,a,y,valid
m,r,s,h,s,*,*,*,invalid
f,h,q,l,*,*,*,*,invalid
p,b,w,*,*,*,*,*,invalid
n,f,r,*,*,*,*,*,invalid
q,m,r,*,*,*,*,*,invalid
v,h,x,*,*,*,*,*,invalid
f,o,e,s,*,*,*,*,valid
c,l,o,c,k,s,*,*,valid
e,a,l,t,y,h,*,*,invalid
y,u,x,*,*,*,*,*,invalid
q,s,y,*,*,*,*,*,invalid
d,f,l,e,*,*,*,*,invalid
d,e,e,*,*,*,*,*,invalid
o,f,n,l,h,*,*,*,invalid
i,m,e,*,*,*,*,*,invalid
q,q,n,f,*,*,*,*,invalid
t,a,b,l,e,*,*,*,valid
e,s,c,a,p,e,e,s,valid
v,w,y,*,*,*,*,*,invalid
a,y,o,q,l,h,c,*,invalid
m,w,m,h,*,*,*,*,invalid
j,b,q,o,*,*,*,*,invalid
h,w,y,o,l,*,*,*,invalid
m,d,r,*,*,*,*,*,invalid
c,p,w,s,*,*,*,*,invalid
o,j,j,q,l,o,*,*,invalid
h,n,k,*,*,*,*,*,invalid
i,h,n,r,*,*,*,*,invalid
b,p,t,h,*,*,*,*,invalid
w,x,q,y,x,m,*,*,invalid
m,c,m,u,q,x,w,*,invalid
d,i,s,p,u,t,e,*,valid
l,a,j,j,m,m,f,*,invalid
f,r,e,n,e,t,i,c,valid
u,a,a,c,w,g,e,*,invalid
f,i,i,i,k,r,*,*,invalid
p,h,w,w,*,*,*,*,invalid
c,r,u,e,l,l,e,r,valid
a,g,t,c,*,*,*,*,invalid
m,u,j,q,k,n,*,*,invalid
b,n,v,s,h,*,*,*,invalid
l,c,j,c,r,r,t,*,invalid
t,r,o,u,b,l,e,*,valid
e,v,i,c,t,i,n,g,valid
l,d,f,f,y,m,e,*,invalid
d,p,c,a,g,*,*,*,invalid
c,e,b,f,n,t,r,*,invalid
x,q,u,y,i,r,o,*,invalid
h,o,t,e,l,s,*,*,valid
i,l,s,o,k,*,*,*,invalid
m,o,v,e,m,e,n,t,valid
b,r,o,c,h,u,r,e,valid
w,k,i,w,e,*,*,*,invalid
r,c,w,j,s,m,*,*,invalid
t,o,u,c,h,i,n,g,valid
g,a,m,m,a,s,*,*,valid
g,r,a,d,e,*,*,*,valid
g,d,n,y,v,w,m,*,invalid
a,p,r,g,*,*,*,*,invalid
m,f,r,t,h,*,*,*,invalid
r,e,t,u,r,n,e,e,valid
z,e,b,u,*,*,*,*,valid
e,i,y,*,*,*,*,*,invalid
i,l,n,r,i,*,*,*,invalid
q,o,g,g,q,*,*,*,invalid
h,s,m,i,*,*,*,*,invalid
r,g,q,m,m,d,r,*,invalid
r,o,c,*,*,*,*,*,invalid
i,v,l,f,i,o,w,*,invalid
w,d,j,s,*,*,*,*,invalid
s,g,h,l,v,*,*,*,invalid
a,g,t,m,l,*,*,*,invalid
w,x,f,a,b,*,*,*,invalid
a,x,m,o,h,*,*,*,invalid
h,u,n,c,h,e,d,*,valid
h,s,q,k,m,*,*,*,invalid
b,u,c,e,i,x,*,*,invalid
s,h,o,c,k,s,*,*,valid
l,y,m,h,q,*,*,*,invalid
f,y,j,d,e,*,*,*,invalid
y,m,t,r,i,*,*,*,invalid
b,u,n,g,l,e,r,s,valid
x,p,v,s,j,m,k,*,invalid
c,r,e,m,a,t,e,s,valid
g,j,h,e,a,*,*,*,invalid
y,o,m,u,*,*,*,*,valid
u,k,k,e,l,f,o,*,invalid
e,p,o,x,i,e,d,*,valid
b,l,u,b,b,e,r,s,valid
m,u,s,s,e,l,*,*,valid
q,p,f,t,*,*,*,*,invalid
p,p,n,a,h,b,g,*,invalid
j,j,l,c,*,*,*,*,invalid
b,i,c,y,c,l,e,s,valid
d,r,y,s,*,*,*,*,invalid
s,w,a,g,s,*,*,*,valid
w,q,d,x,i,e,g,*,invalid
t,s,u,t,s,u,*,*,valid
x,u,i,s,w,x,r,*,invalid
g,i,l,j,f,*,*,*,invalid
p,r,o,*,*,*,*,*,invalid
j,m,r,d,*,*,*,*,invalid
l,l,a,n,o,*,*,*,valid
w,o,r,m,s,*,*,*,valid
w,o,j,*,*,*,*,*,invalid
r,m,k,e,w,*,*,*,invalid
s,n,a,p,s,h,o,t,valid
u,g,t,p,k,*,*,*,invalid
e,n,d,u,e,d,*,*,valid
s,h,r,u,b,*,*,*,valid
v,w,x,r,*,*,*,*,invalid
e,q,u,i,n,e,*,*,valid
d,e,m,o,*,*,*,*,valid
w,i,c,k,e,d,*,*,valid
q,q,r,w,i,q,*,*,invalid
l,x,u,*,*,*,*,*,invalid
r,j,a,m,*,*,*,*,invalid
k,e,m,y,*,*,*,*,invalid
t,o,s,g,r,m,*,*,invalid
g,u,s,f,u,a,*,*,invalid
u,n,l,q,l,*,*,*,invalid
g,d,p,a,x,*,*,*,invalid
s,t,e,e,p,i,n,g,valid
s,a,w,m,i,l,l,*,valid
m,e,m,e,*,*,*,*,invalid
y,r,a,g,*,*,*,*,invalid
l,r,s,i,*,*,*,*,invalid
v,u,x,*,*,*,*,*,invalid
l,w,d,*,*,*,*,*,invalid
i,f,o,u,q,*,*,*,invalid
q,j,m,l,n,h,n,*,invalid
m,s,m,b,v,s,*,*,invalid
u,m,d,c,q,*,*,*,invalid
j,e,t,*,*,*,*,*,invalid
u,q,f,y,*,*,*,*,invalid
j,w,v,p,a,k,*,*,invalid
y,m,s,n,*,*,*,*,invalid
s,l,i,t,t,e,r,*,valid
d,y,c,h,*,*,*,*,invalid
t,c,a,f,*,*,*,*,invalid
t,o,h,x,f,*,*,*,invalid
b,t,b,*,*,*,*,*,invalid
y,n,k,n,o,*,*,*,invalid
l,t,w,y,a,*,*,*,invalid
s,u,n,r,o,o,f,*,valid
g,o,o,i,e,s,t,*,valid
t,t,s,c,o,*,*,*,invalid
x,m,n,l,c,x,j,*,invalid
f,k,a,j,d,c,*,*,invalid
b,o,w,r,*,*,*,*,invalid
v,w,f,y,*,*,*,*,invalid
t,e,r,r,a,c,e,d,valid
n,n,v,y,c,f,*,*,invalid
r,x,b,p,x,*,*,*,invalid
g,k,s,l,*,*,*,*,invalid
a,c,l,h,w,*,*,*,invalid
j,i,b,i,n,g,*,*,valid
s,n,a,z,z,y,*,*,valid
m,n,w,s,c,b,j,*,invalid
x,r,s,m,t,f,d,*,invalid
f,k,d,k,v,l,*,*,invalid
t,e,g,a,m,i,*,*,valid
o,f,f,s,i,d,e,*,valid
e,l,l,w,u,k,*,*,invalid
f,k,m,c,t,g,o,*,invalid
j,u,u,u,h,h,*,*,invalid
u,h,t,*,*,*,*,*,invalid
e,l,e,g,a,n,t,*,valid
l,c,r,*,*,*,*,*,invalid
v,i,r,t,u,e,s,*,valid
s,w,i,u,*,*,*,*,invalid
q,i,n,q,f,p,*,*,invalid
h,o,w,i,t,z,e,r,valid
x,m,l,a,s,f,*,*,invalid
i,f,l,x,q,*,*,*,invalid
s,l,u,m,p,e,d,*,valid
x,j,i,j,x,v,*,*,invalid
v,b,v,f,t,x,*,*,invalid
b,r,k,r,y,f,*,*,invalid
g,b,k,b,q,r,*,*,invalid
u,n,s,a,y,*,*,*,valid
s,u,l,l,i,e,d,*,valid
b,a,n,k,i,n,g,*,valid
k,o,t,y,h,*,*,*,invalid
e,w,m,g,m,l,g,*,invalid
a,g,g,*,*,*,*,*,invalid
g,a,r,g,o,y,l,e,valid
d,l,x,*,*,*,*,*,invalid
k,c,p,*,*,*,*,*,invalid
c,o,w,l,s,a,*,*,invalid
d,e,s,e,r,t,s,*,valid
d,n,v,b,r,j,*,*,invalid
y,j,u,c,k,e,*,*,invalid
j,k,m,l,v,h,n,*,invalid
h,w,f,j,*,*,*,*,invalid
e,g,a,o,*,*,*,*,invalid
u,n,t,o,l,d,*,*,valid
b,x,l,w,*,*,*,*,invalid
a,r,l,*,*,*,*,*,invalid
d,i,n,g,h,y,*,*,valid
y,h,y,*,*,*,*,*,invalid
h,u,n,k,e,r,s,*,valid
r,e,w,i,n,d,*,*,valid
d,i,v,e,r,s,e,*,valid
f,e,t,i,s,h,e,s,valid
s,t,o,l,e,s,*,*,valid
r,e,s,i,g,n,*,*,valid
g,u,s,t,s,*,*,*,valid
m,a,e,r,g,a,n,*,invalid
s,o,d,a,s,*,*,*,valid
i,k,w,s,*,*,*,*,invalid
t,o,c,g,*,*,*,*,invalid
m,o,d,a,l,s,*,*,valid
e,n,j,o,i,n,*,*,valid
n,f,c,*,*,*,*,*,invalid
r,h,n,g,b,s,*,*,invalid
b,a,y,e,d,*,*,*,valid
q,m,t,h,*,*,*,*,invalid
m,b,a,v,l,a,y,*,invalid
q,u,s,*,*,*,*,*,invalid
m,e,w,e,d,*,*,*,valid
h,u,r,d,l,e,d,*,valid
c,f,u,q,d,*,*,*,invalid
c,d,y,a,a,u,m,*,invalid
t,y,c,c,q,u,*,*,invalid
m,e,m,e,*,*,*,*,valid
n,s,a,u,*,*,*,*,invalid
s,t,i,m,u,l,u,s,valid
x,d,w,h,o,l,*,*,invalid
g,d,s,w,a,f,a,*,invalid
h,o,w,d,y,*,*,*,valid
n,r,r,s,v,n,*,*,invalid
e,i,u,*,*,*,*,*,invalid
v,p,h,b,w,*,*,*,invalid
l,b,b,f,b,*,*,*,invalid
c,h,e,r,u,b,*,*,valid
l,i,l,a,c,*,*,*,valid
m,j,s,j,a,c,*,*,invalid
r,x,j,p,q,g,*,*,invalid
s,e,b,o,p,*,*,*,invalid
p,h,o,n,i,c,s,*,valid
v,l,e,s,*,*,*,*,invalid
b,q,l,t,v,*,*,*,invalid
s,q,c,*,*,*,*,*,invalid
x,n,r,q,*,*,*,*,invalid
m,c,w,b,d,*,*,*,invalid
o,f,f,e,n,d,e,d,valid
i,n,t,e,n,t,*,*,valid
e,f,l,*,*,*,*,*,invalid
t,n,q,c,d,d,*,*,invalid
h,x,u,d,*,*,*,*,invalid
x,f,c,x,x,i,*,*,invalid
w,i,n,g,i,n,g,*,valid
p,r,i,c,e,y,*,*,valid
s,s,y,i,f,*,*,*,invalid
p,r,f,*,*,*,*,*,invalid
h,j,d,j,l,p,k,*,invalid
j,d,t,*,*,*,*,*,invalid
d,n,t,w,k,p,*,*,invalid
r,r,k,v,t,m,p,*,invalid
y,w,x,b,s,s,*,*,invalid
n,d,a,m,b,*,*,*,invalid
c,l,i,m,a,x,e,d,valid
l,i,m,b,*,*,*,*,valid
f,d,n,a,t,*,*,*,invalid
h,a,f,t,s,*,*,*,valid
n,k,n,b,*,*,*,*,invalid
t,y,p,j,b,e,k,*,invalid
t,o,u,*,*,*,*,*,invalid
t,u,x,v,a,*,*,*,invalid
e,g,q,m,r,o,f,*,invalid
c,d,j,*,*,*,*,*,invalid
o,x,o,f,g,q,*,*,invalid
j,a,a,f,a,n,*,*,invalid
c,c,m,*,*,*,*,*,invalid
s,t,e,a,l,*,*,*,invalid
h,i,p,s,*,*,*,*,valid
w,e,l,d,i,n,g,*,valid
u,j,u,p,n,i,*,*,invalid
j,n,i,s,u,n,*,*,invalid
p,e,d,q,m,w,*,*,invalid
j,x,q,*,*,*,*,*,invalid
s,t,a,r,t,e,d,*,valid
c,s,l,*,*,*,*,*,invalid
x,m,q,h,j,w,*,*,invalid
q,x,i,t,d,*,*,*,invalid
s,s,u,k,g,r,*,*,invalid
p,l,l,f,r,v,*,*,invalid
j,o,h,h,*,*,*,*,invalid
a,d,u,l,a,t,e,d,valid
b,l,b,u,n,*,*,*,invalid
r,e,f,e,r,r,a,l,valid
s,e,v,d,*,*,*,*,invalid
k,r,q,p,w,i,*,*,invalid
r,l,s,u,t,*,*,*,invalid
w,t,r,v,p,y,*,*,invalid
p,v,w,c,p,*,*,*,invalid
d,o,b,g,t,*,*,*,invalid
t,a,b,u,e,d,*,*,valid
m,a,v,p,*,*,*,*,invalid
b,e,l,i,e,s,*,*,valid
t,s,a,b,m,e,h,*,invalid
t,r,u,s,t,f,u,l,valid
a,s,p,*,*,*,*,*,valid
d,k,h,j,q,*,*,*,invalid
c,e,n,t,s,*,*,*,valid
n,x,o,y,t,w,*,*,invalid
g,h,f,o,q,*,*,*,invalid
q,u,o,t,i,n,g,*,valid
f,p,n,f,*,*,*,*,invalid
v,v,k,b,*,*,*,*,invalid
e,n,t,r,y,w,a,y,valid
i,s,m,v,q,u,*,*,invalid
a,n,i,m,a,t,e,s,valid
n,c,e,m,a,*,*,*,invalid
r,u,x,*,*,*,*,*,invalid
e,g,h,s,p,x,a,*,invalid
y,e,b,*,*,*,*,*,invalid
a,l,o,n,g,*,*,*,valid
o,a,u,x,*,*,*,*,invalid
u,f,s,o,h,d,*,*,invalid
i,k,n,d,k,a,t,*,invalid
m,x,u,w,u,*,*,*,invalid
c,c,e,*,*,*,*,*,invalid
h,o,u,y,h,*,*,*,invalid
k,d,f,*,*,*,*,*,invalid
n,e,w,s,m,e,n,*,valid
d,i,t,t,o,e,s,*,valid
n,b,m,g,*,*,*,*,invalid
c,d,f,b,s,l,*,*,invalid
r,a,j,a,h,s,*,*,valid
u,n,f,u,r,l,e,d,valid
m,k,t,g,h,e,a,*,invalid
w,a,s,s,a,i,l,s,valid
b,a,t,w,*,*,*,*,invalid
a,p,d,f,u,*,*,*,invalid
h,u,n,g,*,*,*,*,valid
m,e,n,u,s,*,*,*,valid
s,d,h,h,*,*,*,*,invalid
l,y,o,c,*,*,*,*,invalid
t,h,r,o,a,t,*,*,valid
p,o,s,e,u,r,s,*,valid
v,q,j,u,b,p,q,*,invalid
g,u,l,f,s,*,*,*,valid
q,u,v,v,f,t,s,*,invalid
m,g,e,p,y,j,r,*,invalid
v,f,a,v,l,k,*,*,invalid
s,a,r,u,*,*,*,*,valid
p,k,g,q,h,*,*,*,invalid
r,o,l,l,s,*,*,*,valid
p,g,b,m,*,*,*,*,invalid
a,x,e,d,*,*,*,*,valid
u,x,l,x,*,*,*,*,invalid
c,a,c,h,v,v,l,*,invalid
s,c,a,m,p,s,*,*,valid
l,n,p,k,n,v,*,*,invalid
t,t,g,*,*,*,*,*,invalid
c,r,u,e,l,e,s,t,valid
r,u,o,x,*,*,*,*,invalid
i,n,s,u,l,t,e,d,valid
i,d,d,*,*,*,*,*,invalid
m,y,r,r,h,*,*,*,valid
b,l,a,c,k,e,s,t,valid
q,s,h,h,*,*,*,*,invalid
p,r,i,e,s,t,*,*,valid
s,a,t,u,r,a,t,e,valid
l,o,r,*,*,*,*,*,invalid
a,q,d,*,*,*,*,*,invalid
p,o,r,o,s,i,t,y,valid
i,n,s,s,m,*,*,*,invalid
a,e,o,n,s,*,*,*,valid
r,e,u,t,n,*,*,*,invalid
o,u,t,r,a,g,e,d,valid
e,s,d,f,o,w,*,*,invalid
x,j,g,k,b,*,*,*,invalid
k,i,y,*,*,*,*,*,invalid
c,r,e,a,m,*,*,*,valid
e,k,b,o,w,b,*,*,invalid
i,y,h,*,*,*,*,*,invalid
h,i,f,u,*,*,*,*,valid
i,u,t,y,k,b,r,*,invalid
h,o,s,t,a,g,e,*,valid
o,u,t,s,t,a,y,s,valid
g,l,o,a,t,e,d,*,valid
s,p,i,n,n,i,n,g,valid
p,p,y,h,n,*,*,*,invalid
r,e,w,h,v,*,*,*,invalid
g,l,r,d,*,*,*,*,invalid
j,f,b,d,b,o,*,*,invalid
v,x,f,d,k,k,*,*,invalid
n,o,n,u,n,i,o,n,valid
e,x,c,e,p,t,s,*,valid
i,p,s,*,*,*,*,*,invalid
i,q,m,d,k,v,*,*,invalid
c,r,a,d,l,e,*,*,valid
l,a,p,u,p,k,i,*,invalid
m,e,a,t,y,*,*,*,valid
m,h,k,o,e,x,*,*,invalid
b,o,t,a,n,i,s,t,valid
c,l,j,e,v,k,*,*,invalid
u,p,t,u,r,n,*,*,valid
d,n,x,i,c,i,l,*,invalid
x,r,w,*,*,*,*,*,invalid
u,n,s,a,l,t,e,d,valid
h,f,l,*,*,*,*,*,invalid
l,e,a,r,n,*,*,*,valid
c,y,f,q,y,u,*,*,invalid
g,y,q,v,q,*,*,*,invalid
o,n,n,a,n,o,k,o,valid
k,h,b,t,v,c,*,*,invalid
p,c,a,t,s,d,*,*,invalid
a,b,e,k,*,*,*,*,invalid
k,l,f,x,x,l,v,*,invalid
l,y,y,h,o,o,*,*,invalid
o,a,e,l,i,n,*,*,invalid
i,m,s,a,o,*,*,*,invalid
v,d,x,*,*,*,*,*,invalid
x,i,u,v,*,*,*,*,invalid
m,d,h,b,l,*,*,*,invalid
x,q,s,p,w,l,*,*,invalid
h,l,s,s,o,h,t,*,invalid
g,a,n,g,*,*,*,*,valid
s,v,g,e,*,*,*,*,invalid
s,l,a,b,b,i,n,g,valid
a,x,s,m,*,*,*,*,invalid
h,g,h,x,*,*,*,*,invalid
s,l,o,v,e,n,l,y,valid
d,u,s,t,m,e,n,*,valid
o,g,h,*,*,*,*,*,invalid
k,x,h,y,h,*,*,*,invalid
m,o,b,i,l,e,s,*,valid
c,b,i,c,d,*,*,*,invalid
w,a,i,f,*,*,*,*,valid
s,q,u,a,d,s,*,*,valid
a,j,t,f,m,f,*,*,invalid
g,a,o,t,q,*,*,*,invalid
p,h,o,n,e,y,s,*,valid
u,e,w,s,t,*,*,*,invalid
c,o,d,e,x,*,*,*,valid
w,m,s,v,t,t,j,*,invalid
i,d,v,y,k,*,*,*,invalid
u,l,y,h,d,*,*,*,invalid
w,o,r,r,i,e,r,*,valid
m,o,l,e,h,i,l,l,valid
u,r,a,o,d,j,*,*,invalid
a,u,r,a,l,l,y,*,valid
b,u,i,l,t,i,n,*,valid
s,c,a,l,e,*,*,*,valid
n,i,u,m,*,*,*,*,invalid
i,m,f,*,*,*,*,*,invalid
r,y,l,i,*,*,*,*,invalid
d,l,a,c,l,w,n,*,invalid
s,a,i,l,*,*,*,*,valid
r,b,d,b,*,*,*,*,invalid
u,d,b,*,*,*,*,*,invalid
e,y,v,*,*,*,*,*,invalid
p,a,d,r,e,s,*,*,valid
p,u,m,p,i,n,g,*,valid
k,r,l,n,g,*,*,*,invalid
c,o,u,n,t,r,y,*,valid
l,t,t,b,*,*,*,*,invalid
j,f,i,*,*,*,*,*,invalid
q,s,o,y,t,a,y,*,invalid
i,p,h,t,f,m,d,*,invalid
g,h,l,*,*,*,*,*,invalid
j,j,y,u,b,*,*,*,invalid
d,p,h,b,*,*,*,*,invalid
s,a,l,v,o,*,*,*,valid
h,u,g,s,*,*,*,*,valid
l,o,a,f,s,*,*,*,valid
s,t,e,p,*,*,*,*,valid
o,l,s,d,u,*,*,*,invalid
b,i,t,t,e,r,e,r,valid
p,u,t,t,e,r,e,d,valid
i,i,m,*,*,*,*,*,invalid
q,g,i,g,*,*,*,*,invalid
y,u,o,q,n,b,d,*,invalid
b,q,j,k,*,*,*,*,invalid
r,k,y,v,h,*,*,*,invalid
w,q,v,r,n,*,*,*,invalid
e,a,y,*,*,*,*,*,invalid
e,x,h,u,m,e,d,*,valid
f,j,q,w,q,b,g,*,invalid
d,l,c,*,*,*,*,*,invalid
p,f,j,*,*,*,*,*,invalid
r,e,n,m,*,*,*,*,invalid
